time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.02,0.0,0.0,10.000731293592677,4.326518516784006e-06,3.3856467751114394e-05,0.0,0.0,0.0,0.07312935926772941,0.002941604499718189,-0.008228787000673771,0.0,474.6002060775327,472.70202583479585,472.52451224914023,473.2041975789039
0.04,-9.332179261102169e-08,1.1925593255295487e-08,10.002988275604359,6.747733854783888e-05,6.2830784485005164,0.0,-9.33217926110217e-06,1.1925593255295487e-06,0.15256884190044162,2.648890457935746e-06,-0.001320734714795795,0.0,478.10176512174354,479.6779821688576,478.99879188909387,478.327882724267
0.06,-3.363768913693109e-08,1.9132368594583216e-07,10.006382824959015,6.761705893865155e-05,6.283057366287487,0.0,1.5300589608511234e-05,1.6747249943524117e-05,0.18688609356522362,0.000419164392308478,-0.004586460136832083,0.0,438.964357458803,438.1507737546077,437.1066653952787,437.21076675053007
0.08,5.974295279990079e-07,6.980612317003315e-07,10.010699215552012,7.86480611267848e-05,6.2829783029235,0.0,4.780613210508266e-05,3.3926504631925805e-05,0.24475296573451757,-0.0018820154538544713,0.00044659832664980127,0.0,458.90694341588164,460.1037872335789,460.14705287230873,459.60030768383234
0.1,2.004230828800009e-06,1.5478196972582928e-06,10.015809421653074,5.476167674700605e-05,6.282996885741753,0.0,9.287399797501742e-05,5.104934192387031e-05,0.2662676443717512,0.003362777144085268,-0.003946772069565279,0.0,426.32201529649564,425.19454237802887,424.69740529934245,426.0446322252281
0.12000000000000001,4.282869007796969e-06,2.6912094298929607e-06,10.021407967239046,0.00013354292055289818,6.282953409515361,0.0,0.00013498981992467863,6.328963133959646e-05,0.29358691422544336,-0.0014384104015106305,-0.012368080162768545,0.0,432.5912729585998,430.45908127108123,431.5022190446001,430.2847155497094
0.14,7.551597329458451e-06,4.2846329164798145e-06,10.02777108050669,0.00010900667461477553,6.282707247300092,0.0,0.00019188301224146956,9.60527173190889e-05,0.3427244125391016,0.0014708720158186982,-0.01081928192706371,0.0,451.51619301038755,451.8909529106263,451.49256005653325,452.1960936147425
0.16,1.242527664283409e-05,6.441919129382189e-06,10.034830701017354,0.00014184316901300065,6.282497227765726,0.0,0.0002954849190960943,0.0001196759039711485,0.36323763852719526,0.0040858496761712205,-0.014387503942315354,0.0,424.93788629705955,424.01953152486027,424.47156993249877,425.144121053662
0.18,1.9561259785251767e-05,9.088227906992466e-06,10.041915638430064,0.00023888313734676814,6.282236123191586,0.0,0.00041811339514567347,0.00014495497378987912,0.3452561027438752,-0.0014500287203267513,-0.021687573079892674,0.0,386.2568276018161,384.1863384337441,385.8121268037518,384.2410823648414
0.19999999999999998,3.037233805284058e-05,1.260362445578986e-05,10.049438670836517,0.00021365616764335016,6.281807061165427,0.0,0.0006629944316132079,0.00020658468108986024,0.40704713790145397,-0.004197247205528348,-0.02475006730457005,0.0,463.8091347146637,463.0871356091045,463.48435920665935,462.83630657151497
0.21999999999999997,4.691726980022059e-05,1.72445661992914e-05,10.058001107523193,0.00013668185154713797,6.281312881249786,0.0,0.0009914987431247923,0.0002575094932602939,0.4491965307660803,-0.007931046347082258,-0.02603180865991691,0.0,445.1389588375764,444.8241417469564,446.2192236723906,445.3040939802882
0.23999999999999996,7.153739480445413e-05,2.274442304066125e-05,10.067581293995042,6.283173093757524,6.280792296146249,0.0,0.0014705137572985612,0.0002924761908766912,0.5088221164188266,-0.012341409899578559,-0.026351401089442027,0.0,461.6568880773386,461.5811347371339,461.7687355590739,460.7241005596822
0.25999999999999995,0.00010713059273985092,2.8562390185260504e-05,10.078379473376316,6.282926949403759,6.280297414030581,0.0,0.002088806036241118,0.0002893205235832342,0.5709958217085446,-0.013510892028943362,-0.018333183566741938,0.0,462.55637380781025,464.4464292093841,464.1859915950311,463.91075752725095
0.27999999999999997,0.00015457733082679142,3.3841494246451834e-05,10.089800967404024,6.282666817775443,6.279985449263053,0.0,0.002655867772452933,0.00023858988253589825,0.5711535810621664,-0.009019519797149976,-0.007873842879466882,0.0,403.04529401468375,405.87090526845725,403.8073048191623,405.0208753908957
0.3,0.0002155548284050373,3.733967533485059e-05,10.10171843475918,6.282549177387395,6.279836743813577,0.0,0.0034418819853716527,0.00011122822630397792,0.6205931544534141,-0.020222198753233948,-0.012062257403693329,0.0,452.31045292643375,451.2976484912149,454.0989021224945,451.3954258431397
0.32,0.00029196139850258643,3.812636562680114e-05,10.11442864299271,6.282197074802227,6.279600646880848,0.0,0.004198775024383259,-3.255919710892338e-05,0.6504276688994888,-0.009990738457125893,-0.01527106258425456,0.0,434.01527915073166,433.2068203812524,432.96930020512855,435.5436754935702
0.34,0.00038246260979661487,3.567615164458074e-05,10.127295646518442,6.282038228322548,6.2792961030693775,0.0,0.0048513461050195845,-0.00021246220111311662,0.6362726836737729,-0.0009388558391883461,-0.013946343584756424,0.0,388.4179888513248,388.790528457095,389.2213635698153,391.7543410040116
0.36000000000000004,0.0004896751761499078,2.8422768668149415e-05,10.14067804518641,6.282041105590704,6.279017708689844,0.0,0.005869910530309702,-0.000512876096530016,0.7019671831231046,-0.007519795732497617,-0.014978324360921141,0.0,467.2814608870531,467.04021401034663,467.71537769256673,466.17547481503146
0.38000000000000006,0.0006137288600624455,1.633800650410248e-05,10.154352344380312,6.281891077226156,6.2787182377985005,0.0,0.00653545786094407,-0.0006956001198746772,0.66546273626708,-0.0066624158827394975,-0.015415579148575668,0.0,364.7982620458177,364.66732026113516,365.1225648390268,365.37915270749517
